source_page,target_page,anchor_text_ar,place_hint,priority,UTM_parameters,playbook_task,task_owner,start_date,end_date,estimated_hours,groq_action
/,/demo,جرّب الديمو الفوري بدون تسجيل,CTA,High,utm_source=internal&utm_medium=cta&utm_campaign=command_demo,"أضف زر CTA بعد الهيرو مباشرة بنص ""جرّب الديمو الفوري"".",Frontend,2026-02-09,2026-02-11,3,streaming_demo
/try/,/demo,اكمل التجربة على الديمو الكامل,inline paragraph,High,utm_source=internal&utm_medium=link&utm_campaign=command_demo,"أضف رابط بعد نتائج التجربة بعنوان ""الديمو الكامل"".",Frontend,2026-02-10,2026-02-12,2,streaming_demo
/ai-agent/,/demo,جرّب الوكيل الذكي مباشرة,CTA,High,utm_source=internal&utm_medium=cta&utm_campaign=command_demo,أضف CTA أسفل قسم حالات الاستخدام يشير إلى الديمو.,Content,2026-02-10,2026-02-12,2,streaming_demo
/docs/solutions-ocr.html,/demo/ocr-demo/,جرّب OCR الآن على ملفك,CTA,High,utm_source=internal&utm_medium=cta&utm_campaign=command_ocr,"أضف زر CTA أعلى الصفحة نصه ""جرّب OCR الآن"".",Frontend,2026-02-09,2026-02-11,2,ocr_extract_json
/smart-medical-archive/,/demo/ocr-demo/,فعل OCR للأرشيف الطبي الآن,inline paragraph,High,utm_source=internal&utm_medium=link&utm_campaign=command_ocr,أضف رابط داخل فقرة التعريف بقدرات الاستخراج النصي.,Content,2026-02-11,2026-02-12,2,ocr_extract_json
/tools/,/demo/ocr-demo/,جرّب التعرف الضوئي على مستندك,CTA,High,utm_source=internal&utm_medium=cta&utm_campaign=command_ocr,"أضف بطاقة أداة OCR مع زر ""جرّب الآن"".",Frontend,2026-02-10,2026-02-13,3,ocr_extract_json
/blog/,/demo/resources/report-ai-saudi-2026/,حمّل تقرير الذكاء الاصطناعي السعودي 2026,CTA,High,utm_source=internal&utm_medium=cta&utm_campaign=command_report,أضف بانر أعلى صفحة المدونة لتقرير 2026 مع CTA واضح.,Content,2026-02-09,2026-02-11,2,faq_schema_gen
/docs.html,/demo/resources/report-ai-saudi-2026/,تقرير 2026: أين تتجه استثمارات الذكاء الاصطناعي,inline paragraph,High,utm_source=internal&utm_medium=link&utm_campaign=command_report,أضف رابط ضمن قسم الموارد يوجّه للتقرير.,Content,2026-02-10,2026-02-12,2,faq_schema_gen
/data-analysis/,/demo/resources/report-ai-saudi-2026/,نزّل تقرير السوق السعودي 2026,CTA,High,utm_source=internal&utm_medium=cta&utm_campaign=command_report,"ضع CTA بعد قسم ""نتائج التحليل"".",Frontend,2026-02-11,2026-02-12,2,faq_schema_gen
/our-products/,/demo/pricing/,اطّلع على الأسعار والباقات,CTA,High,utm_source=internal&utm_medium=cta&utm_campaign=command_pricing,"أضف زر ""الأسعار"" بجوار CTA الرئيسي.",Frontend,2026-02-09,2026-02-10,2,plan_recommender
/consultation/,/demo/pricing/,اختر الباقة المناسبة لفريقك,inline paragraph,High,utm_source=internal&utm_medium=link&utm_campaign=command_pricing,أضف رابط بعد نموذج الاستشارة يشير للباقات.,Content,2026-02-11,2026-02-12,2,plan_recommender
/ai-bots/,/demo/pricing/,شف الباقات الخاصة بروبوتات الأعمال,CTA,High,utm_source=internal&utm_medium=cta&utm_campaign=command_pricing,أضف CTA بنهاية قائمة الروبوتات.,Frontend,2026-02-12,2026-02-13,2,plan_recommender
/smart-automation/,/demo,جرّب أتمتة ذكية مباشرة,inline paragraph,Medium,utm_source=internal&utm_medium=link&utm_campaign=command_demo,أضف رابط بعد شرح الأتمتة يوجّه للديمو.,Content,2026-02-12,2026-02-13,1,streaming_demo
/interview/,/demo,شوف الديمو الخاص بالموارد البشرية,CTA,Medium,utm_source=internal&utm_medium=cta&utm_campaign=command_demo,"أضف CTA في أعلى الصفحة بعنوان ""الديمو"".",Frontend,2026-02-12,2026-02-14,2,streaming_demo
/docs/solutions-ocr-en.html,/demo/ocr-demo/,جرّب OCR للسوق السعودي,inline paragraph,Medium,utm_source=internal&utm_medium=link&utm_campaign=command_ocr,إضافة رابط عربي حتى في النسخة الإنجليزية كتحويل للسوق المحلي.,Content,2026-02-13,2026-02-14,1,ocr_extract_json
/what-is-ai/,/demo/resources/report-ai-saudi-2026/,تحميل تقرير الذكاء الاصطناعي 2026,inline paragraph,Medium,utm_source=internal&utm_medium=link&utm_campaign=command_report,أضف رابط نصي داخل فقرة التعريف بالتوجهات.,Content,2026-02-14,2026-02-15,1,faq_schema_gen
/contact/,/demo/pricing/,شف الباقات قبل ما تتواصل معنا,CTA,Medium,utm_source=internal&utm_medium=cta&utm_campaign=command_pricing,أضف زر CTA بجانب نموذج التواصل.,Frontend,2026-02-14,2026-02-15,1,plan_recommender
