# ----------------------------------------
# الصفحات والشاشات: مسار الصفحة وفئة الشاشة
# الحساب: Bright AI
# الموقع: Bright AI 
# ----------------------------------------
# 
# كل المستخدمين
# تاريخ البدء: 20260117
# تاريخ الانتهاء: 20260213
مسار الصفحة وفئة الشاشة,المشاهدات,مستخدمون نشطون,المشاهدات لكل مستخدم نشط,متوسط مدة التفاعل لكل مستخدم نشط,عدد الأحداث,الأحداث المهمة,إجمالي الأرباح
/,210,60,3.5,67.4,588,0,0
/Docs,9,6,1.5,11.666666666666666,26,0,0
/frontend/pages/our-products.html,6,3,2,6.333333333333333,14,0,0
/frontend/pages/blog/,5,3,1.6666666666666667,6.666666666666667,13,0,0
/h/projects/interview/index.html,5,4,1.25,2,12,0,0
/smart-automation,5,2,2.5,10.5,13,0,0
/ai-agent,4,1,4,17,8,0,0
/ai-agent.html,4,2,2,26,10,0,0
/frontend/pages/blog/index.html,4,1,4,36,8,0,0
/frontend/pages/smart-automation.html,4,4,1,1.75,9,0,0
/frontend/pages/smart-automation/index.html,4,1,4,24,9,0,0
/pages/ai-agent.html,4,1,4,97,9,0,0
/frontend/,3,2,1.5,3.5,8,0,0
/frontend/Docs,3,1,3,2,5,0,0
/frontend/pages/ai-agent/index.html,3,2,1.5,3,6,0,0
/h/projects/interview/,3,1,3,9,10,0,0
/pages/data-analysis.html,3,1,3,4,5,0,0
/roborts.txt,3,1,3,2,6,0,0
/Customer/index.html,2,2,1,0,2,0,0
/Docs.html,2,2,1,0,4,0,0
/Local/h.html,2,1,2,0,3,0,0
/Local/index.html,2,1,2,0,5,0,0
/ai-bots,2,1,2,9,4,0,0
/consultation,2,2,1,1.5,4,0,0
/consultation.html,2,1,2,3,6,0,0
/frontend/Docs/index.html,2,1,2,4,4,0,0
/frontend/frontend/pages/data-analysis,2,1,2,5,6,0,0
/frontend/index.html,2,2,1,3.5,7,0,0
/frontend/pages/ai-agent.html,2,2,1,1,4,0,0
/frontend/pages/ai-bots/BrightSupport/index.html,2,1,2,7,7,0,0
/frontend/pages/blog.html,2,1,2,10,5,0,0
/frontend/pages/blogger/ai-healthcare-saudi.html,2,1,2,3,3,0,0
/frontend/pages/blogger/saudi-waste-management-ai.html,2,1,2,14,5,0,0
/frontend/pages/consultation.html,2,2,1,0,3,0,0
/frontend/pages/docs/services-overview.html,2,2,1,17.5,6,0,0
/frontend/pages/docs/solutions-interview.html,2,2,1,7,5,0,0
/frontend/pages/interview/,2,2,1,2,4,0,0
/frontend/pages/our-products/,2,1,2,11,5,0,0
/frontend/pages/smart-automation,2,2,1,3,4,0,0
/frontend/pages/smart-automation/,2,2,1,10.5,7,0,0
/frontend/pages/tools,2,1,2,7,7,0,0
/index.html,2,2,1,14.5,5,0,0
/pages/contact.html,2,1,2,31,3,0,0
/smart-automation.html,2,1,2,5,6,0,0
/blog,1,1,1,4,2,0,0
/blogger/ai-generative-content-industry-saudi-arabia,1,1,1,7,2,0,0
/botAI/BrightMath,1,1,1,0,2,0,0
/botAI/BrightSales,1,1,1,0,2,0,0
/botAI/BrightSupport,1,1,1,0,2,0,0
/frontend/Docs/index,1,1,1,2,2,0,0
/frontend/docs.html,1,1,1,10,3,0,0
/frontend/frontend/pages/about-us,1,1,1,4,3,0,0
/frontend/frontend/pages/about-us.html,1,1,1,3,2,0,0
/frontend/frontend/pages/data-analysis.html,1,1,1,6,3,0,0
/frontend/frontend/pages/smart-automation.html,1,1,1,1,2,0,0
/frontend/frontend/pages/smart-medical-archive,1,1,1,1,2,0,0
/frontend/frontend/pages/smart-medical-archive/index,1,1,1,1,2,0,0
/frontend/frontend/pages/smart-medical-archive/index.html,1,1,1,5,2,0,0
/frontend/pages/about-us/,1,1,1,2,2,0,0
/frontend/pages/about-us/index.html,1,1,1,0,3,0,0
/frontend/pages/ai-agent/,1,1,1,12,2,0,0
/frontend/pages/ai-bots/,1,1,1,5,2,0,0
/frontend/pages/aibot/,1,1,1,3,2,0,0
/frontend/pages/aobot/,1,1,1,1,2,0,0
/frontend/pages/consultation,1,1,1,0,2,0,0
/frontend/pages/contact.html,1,1,1,0,1,0,0
/frontend/pages/data-analysis.html,1,1,1,0,2,0,0
/frontend/pages/data-analysis/,1,1,1,1,2,0,0
/frontend/pages/docs/ai-bots.html,1,1,1,7,3,0,0
/frontend/pages/docs/solutions-bi.html,1,1,1,9,3,0,0
/frontend/pages/docs/solutions-hr.html,1,1,1,4,3,0,0
/frontend/pages/docs/terms-and-conditions.html,1,1,1,2,2,0,0
/frontend/pages/health-bright/index.html,1,1,1,4,2,0,0
/frontend/pages/interview/index.html,1,1,1,1,2,0,0
/frontend/pages/tools.html,1,1,1,0,1,0,0
/frontend/pages/tools/,1,1,1,2,2,0,0
/frontend/pages/try.html,1,1,1,0,1,0,0
/h/projects/interview/frontend/pages/smart-automation/index.html,1,1,1,0,1,0,0
/llms.txt,1,1,1,9,3,0,0
/our-products,1,1,1,0,1,0,0
/our-products.html,1,1,1,0,1,0,0
/pages/about-us.html,1,1,1,5,5,0,0
/pages/ai-bots.html,1,1,1,0,2,0,0
/try,1,1,1,1,3,0,0
